"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2022","Male","3 years","Mayo","Number","814"
"Population","2022","Male","3 years","Offaly","Number","531"
"Population","2022","Male","3 years","Roscommon","Number","441"
"Population","2022","Male","3 years","South Dublin","Number","1997"
"Population","2022","Male","3 years","Sligo","Number","420"
"Population","2022","Male","3 years","Tipperary","Number","1029"
"Population","2022","Male","3 years","Waterford City and County","Number","755"
"Population","2022","Male","3 years","Westmeath","Number","590"
"Population","2022","Male","3 years","Wicklow","Number","976"
"Population","2022","Male","3 years","Wexford","Number","961"
"Population","2022","Male","4 years","State","Number","31686"
"Population","2022","Male","4 years","Cork City and Cork County","Number","3500"
"Population","2022","Male","4 years","Clare","Number","739"
"Population","2022","Male","4 years","Cavan","Number","555"
"Population","2022","Male","4 years","Carlow","Number","376"
"Population","2022","Male","4 years","Dublin City","Number","2869"
"Population","2022","Male","4 years","Donegal","Number","1042"
"Population","2022","Male","4 years","Dún Laoghaire-Rathdown","Number","1380"
"Population","2022","Male","4 years","Fingal","Number","2275"
"Population","2022","Male","4 years","Galway City","Number","412"
"Population","2022","Male","4 years","Galway County","Number","1354"
"Population","2022","Male","4 years","Kildare","Number","1704"
"Population","2022","Male","4 years","Kilkenny","Number","616"
"Population","2022","Male","4 years","Kerry","Number","876"
"Population","2022","Male","4 years","Longford","Number","276"
"Population","2022","Male","4 years","Louth","Number","918"
"Population","2022","Male","4 years","Limerick City and County","Number","1240"
"Population","2022","Male","4 years","Leitrim","Number","223"
"Population","2022","Male","4 years","Laois","Number","643"
"Population","2022","Male","4 years","Meath","Number","1578"
"Population","2022","Male","4 years","Monaghan","Number","449"
"Population","2022","Male","4 years","Mayo","Number","842"
"Population","2022","Male","4 years","Offaly","Number","519"
"Population","2022","Male","4 years","Roscommon","Number","427"
"Population","2022","Male","4 years","South Dublin","Number","2002"
"Population","2022","Male","4 years","Sligo","Number","412"
"Population","2022","Male","4 years","Tipperary","Number","1074"
"Population","2022","Male","4 years","Waterford City and County","Number","756"
"Population","2022","Male","4 years","Westmeath","Number","599"
"Population","2022","Male","4 years","Wicklow","Number","1010"
"Population","2022","Male","4 years","Wexford","Number","1020"
"Population","2022","Male","5 years","State","Number","32684"
"Population","2022","Male","5 years","Cork City and Cork County","Number","3582"
"Population","2022","Male","5 years","Clare","Number","821"
"Population","2022","Male","5 years","Cavan","Number","599"
"Population","2022","Male","5 years","Carlow","Number","384"
"Population","2022","Male","5 years","Dublin City","Number","2793"
"Population","2022","Male","5 years","Donegal","Number","1079"
"Population","2022","Male","5 years","Dún Laoghaire-Rathdown","Number","1442"
"Population","2022","Male","5 years","Fingal","Number","2387"
"Population","2022","Male","5 years","Galway City","Number","437"
"Population","2022","Male","5 years","Galway County","Number","1326"
"Population","2022","Male","5 years","Kildare","Number","1692"
"Population","2022","Male","5 years","Kilkenny","Number","693"
"Population","2022","Male","5 years","Kerry","Number","938"
"Population","2022","Male","5 years","Longford","Number","347"
"Population","2022","Male","5 years","Louth","Number","897"
"Population","2022","Male","5 years","Limerick City and County","Number","1294"
"Population","2022","Male","5 years","Leitrim","Number","229"
"Population","2022","Male","5 years","Laois","Number","641"
"Population","2022","Male","5 years","Meath","Number","1601"
"Population","2022","Male","5 years","Monaghan","Number","434"
"Population","2022","Male","5 years","Mayo","Number","880"
"Population","2022","Male","5 years","Offaly","Number","569"
"Population","2022","Male","5 years","Roscommon","Number","471"
"Population","2022","Male","5 years","South Dublin","Number","2107"
"Population","2022","Male","5 years","Sligo","Number","427"
"Population","2022","Male","5 years","Tipperary","Number","1083"
"Population","2022","Male","5 years","Waterford City and County","Number","787"
"Population","2022","Male","5 years","Westmeath","Number","659"
"Population","2022","Male","5 years","Wicklow","Number","1063"
"Population","2022","Male","5 years","Wexford","Number","1022"
"Population","2022","Male","6 years","State","Number","34092"
"Population","2022","Male","6 years","Cork City and Cork County","Number","3906"
"Population","2022","Male","6 years","Clare","Number","867"
"Population","2022","Male","6 years","Cavan","Number","585"
"Population","2022","Male","6 years","Carlow","Number","383"
"Population","2022","Male","6 years","Dublin City","Number","2934"
"Population","2022","Male","6 years","Donegal","Number","1163"
"Population","2022","Male","6 years","Dún Laoghaire-Rathdown","Number","1485"
"Population","2022","Male","6 years","Fingal","Number","2502"
"Population","2022","Male","6 years","Galway City","Number","449"
"Population","2022","Male","6 years","Galway County","Number","1359"
"Population","2022","Male","6 years","Kildare","Number","1784"
"Population","2022","Male","6 years","Kilkenny","Number","763"
"Population","2022","Male","6 years","Kerry","Number","945"
"Population","2022","Male","6 years","Longford","Number","337"
"Population","2022","Male","6 years","Louth","Number","987"
"Population","2022","Male","6 years","Limerick City and County","Number","1304"
"Population","2022","Male","6 years","Leitrim","Number","232"
"Population","2022","Male","6 years","Laois","Number","698"
"Population","2022","Male","6 years","Meath","Number","1588"
"Population","2022","Male","6 years","Monaghan","Number","482"
"Population","2022","Male","6 years","Mayo","Number","917"
"Population","2022","Male","6 years","Offaly","Number","557"
"Population","2022","Male","6 years","Roscommon","Number","450"
"Population","2022","Male","6 years","South Dublin","Number","2141"
"Population","2022","Male","6 years","Sligo","Number","423"
"Population","2022","Male","6 years","Tipperary","Number","1123"
"Population","2022","Male","6 years","Waterford City and County","Number","847"
"Population","2022","Male","6 years","Westmeath","Number","684"
"Population","2022","Male","6 years","Wicklow","Number","1090"
"Population","2022","Male","6 years","Wexford","Number","1107"
"Population","2022","Male","7 years","State","Number","35429"
"Population","2022","Male","7 years","Cork City and Cork County","Number","4106"
"Population","2022","Male","7 years","Clare","Number","858"
"Population","2022","Male","7 years","Cavan","Number","607"
"Population","2022","Male","7 years","Carlow","Number","434"
"Population","2022","Male","7 years","Dublin City","Number","3021"
"Population","2022","Male","7 years","Donegal","Number","1137"
"Population","2022","Male","7 years","Dún Laoghaire-Rathdown","Number","1505"
"Population","2022","Male","7 years","Fingal","Number","2577"
"Population","2022","Male","7 years","Galway City","Number","460"
"Population","2022","Male","7 years","Galway County","Number","1368"
"Population","2022","Male","7 years","Kildare","Number","1879"
"Population","2022","Male","7 years","Kilkenny","Number","711"
"Population","2022","Male","7 years","Kerry","Number","1011"
"Population","2022","Male","7 years","Longford","Number","331"
"Population","2022","Male","7 years","Louth","Number","1014"
"Population","2022","Male","7 years","Limerick City and County","Number","1332"
"Population","2022","Male","7 years","Leitrim","Number","254"
"Population","2022","Male","7 years","Laois","Number","713"
"Population","2022","Male","7 years","Meath","Number","1774"
"Population","2022","Male","7 years","Monaghan","Number","510"
"Population","2022","Male","7 years","Mayo","Number","924"
"Population","2022","Male","7 years","Offaly","Number","620"
"Population","2022","Male","7 years","Roscommon","Number","507"
"Population","2022","Male","7 years","South Dublin","Number","2302"
"Population","2022","Male","7 years","Sligo","Number","508"
"Population","2022","Male","7 years","Tipperary","Number","1148"
"Population","2022","Male","7 years","Waterford City and County","Number","848"
"Population","2022","Male","7 years","Westmeath","Number","654"
"Population","2022","Male","7 years","Wicklow","Number","1152"
"Population","2022","Male","7 years","Wexford","Number","1164"
"Population","2022","Male","8 years","State","Number","36296"
"Population","2022","Male","8 years","Cork City and Cork County","Number","4055"
"Population","2022","Male","8 years","Clare","Number","869"
"Population","2022","Male","8 years","Cavan","Number","602"
"Population","2022","Male","8 years","Carlow","Number","415"
"Population","2022","Male","8 years","Dublin City","Number","3095"
"Population","2022","Male","8 years","Donegal","Number","1224"
"Population","2022","Male","8 years","Dún Laoghaire-Rathdown","Number","1517"
"Population","2022","Male","8 years","Fingal","Number","2752"
"Population","2022","Male","8 years","Galway City","Number","443"
"Population","2022","Male","8 years","Galway County","Number","1507"
"Population","2022","Male","8 years","Kildare","Number","1926"
"Population","2022","Male","8 years","Kilkenny","Number","781"
"Population","2022","Male","8 years","Kerry","Number","957"
"Population","2022","Male","8 years","Longford","Number","348"
"Population","2022","Male","8 years","Louth","Number","1048"
"Population","2022","Male","8 years","Limerick City and County","Number","1408"
"Population","2022","Male","8 years","Leitrim","Number","254"
"Population","2022","Male","8 years","Laois","Number","723"
"Population","2022","Male","8 years","Meath","Number","1881"
"Population","2022","Male","8 years","Monaghan","Number","515"
"Population","2022","Male","8 years","Mayo","Number","931"
"Population","2022","Male","8 years","Offaly","Number","638"
"Population","2022","Male","8 years","Roscommon","Number","512"
"Population","2022","Male","8 years","South Dublin","Number","2320"
"Population","2022","Male","8 years","Sligo","Number","481"
"Population","2022","Male","8 years","Tipperary","Number","1158"
"Population","2022","Male","8 years","Waterford City and County","Number","916"
"Population","2022","Male","8 years","Westmeath","Number","700"
"Population","2022","Male","8 years","Wicklow","Number","1132"
"Population","2022","Male","8 years","Wexford","Number","1188"
"Population","2022","Male","9 years","State","Number","36969"
"Population","2022","Male","9 years","Cork City and Cork County","Number","4148"
"Population","2022","Male","9 years","Clare","Number","933"
"Population","2022","Male","9 years","Cavan","Number","687"
"Population","2022","Male","9 years","Carlow","Number","447"
"Population","2022","Male","9 years","Dublin City","Number","3040"
"Population","2022","Male","9 years","Donegal","Number","1222"
"Population","2022","Male","9 years","Dún Laoghaire-Rathdown","Number","1454"
"Population","2022","Male","9 years","Fingal","Number","2775"
"Population","2022","Male","9 years","Galway City","Number","477"
"Population","2022","Male","9 years","Galway County","Number","1545"
"Population","2022","Male","9 years","Kildare","Number","1939"
"Population","2022","Male","9 years","Kilkenny","Number","756"
"Population","2022","Male","9 years","Kerry","Number","1071"
"Population","2022","Male","9 years","Longford","Number","390"
"Population","2022","Male","9 years","Louth","Number","1063"
"Population","2022","Male","9 years","Limerick City and County","Number","1462"
"Population","2022","Male","9 years","Leitrim","Number","284"
"Population","2022","Male","9 years","Laois","Number","780"
"Population","2022","Male","9 years","Meath","Number","1805"
"Population","2022","Male","9 years","Monaghan","Number","533"
"Population","2022","Male","9 years","Mayo","Number","978"
"Population","2022","Male","9 years","Offaly","Number","610"
"Population","2022","Male","9 years","Roscommon","Number","546"
"Population","2022","Male","9 years","South Dublin","Number","2298"
"Population","2022","Male","9 years","Sligo","Number","512"
"Population","2022","Male","9 years","Tipperary","Number","1127"
"Population","2022","Male","9 years","Waterford City and County","Number","901"
"Population","2022","Male","9 years","Westmeath","Number","748"
"Population","2022","Male","9 years","Wicklow","Number","1203"
"Population","2022","Male","9 years","Wexford","Number","1235"
"Population","2022","Male","10 years","State","Number","38035"
"Population","2022","Male","10 years","Cork City and Cork County","Number","4116"
"Population","2022","Male","10 years","Clare","Number","914"
"Population","2022","Male","10 years","Cavan","Number","651"
"Population","2022","Male","10 years","Carlow","Number","475"
"Population","2022","Male","10 years","Dublin City","Number","3147"
"Population","2022","Male","10 years","Donegal","Number","1277"
"Population","2022","Male","10 years","Dún Laoghaire-Rathdown","Number","1586"
"Population","2022","Male","10 years","Fingal","Number","2938"
"Population","2022","Male","10 years","Galway City","Number","450"
"Population","2022","Male","10 years","Galway County","Number","1556"
"Population","2022","Male","10 years","Kildare","Number","1985"
"Population","2022","Male","10 years","Kilkenny","Number","847"
"Population","2022","Male","10 years","Kerry","Number","1043"
"Population","2022","Male","10 years","Longford","Number","367"
"Population","2022","Male","10 years","Louth","Number","1096"
"Population","2022","Male","10 years","Limerick City and County","Number","1476"
"Population","2022","Male","10 years","Leitrim","Number","245"
"Population","2022","Male","10 years","Laois","Number","793"
"Population","2022","Male","10 years","Meath","Number","1956"
"Population","2022","Male","10 years","Monaghan","Number","544"
"Population","2022","Male","10 years","Mayo","Number","968"
"Population","2022","Male","10 years","Offaly","Number","643"
"Population","2022","Male","10 years","Roscommon","Number","524"
"Population","2022","Male","10 years","South Dublin","Number","2527"
"Population","2022","Male","10 years","Sligo","Number","553"
"Population","2022","Male","10 years","Tipperary","Number","1290"
"Population","2022","Male","10 years","Waterford City and County","Number","904"
"Population","2022","Male","10 years","Westmeath","Number","715"
"Population","2022","Male","10 years","Wicklow","Number","1183"
"Population","2022","Male","10 years","Wexford","Number","1266"
"Population","2022","Male","11 years","State","Number","38296"
"Population","2022","Male","11 years","Cork City and Cork County","Number","4372"
"Population","2022","Male","11 years","Clare","Number","908"
"Population","2022","Male","11 years","Cavan","Number","704"
"Population","2022","Male","11 years","Carlow","Number","514"
"Population","2022","Male","11 years","Dublin City","Number","3053"
"Population","2022","Male","11 years","Donegal","Number","1330"
"Population","2022","Male","11 years","Dún Laoghaire-Rathdown","Number","1536"
"Population","2022","Male","11 years","Fingal","Number","2807"
"Population","2022","Male","11 years","Galway City","Number","491"
"Population","2022","Male","11 years","Galway County","Number","1491"
"Population","2022","Male","11 years","Kildare","Number","2127"
"Population","2022","Male","11 years","Kilkenny","Number","800"
"Population","2022","Male","11 years","Kerry","Number","1042"
"Population","2022","Male","11 years","Longford","Number","391"
"Population","2022","Male","11 years","Louth","Number","1120"
"Population","2022","Male","11 years","Limerick City and County","Number","1492"
"Population","2022","Male","11 years","Leitrim","Number","266"
"Population","2022","Male","11 years","Laois","Number","824"
"Population","2022","Male","11 years","Meath","Number","1978"
"Population","2022","Male","11 years","Monaghan","Number","505"
"Population","2022","Male","11 years","Mayo","Number","1015"
"Population","2022","Male","11 years","Offaly","Number","659"
"Population","2022","Male","11 years","Roscommon","Number","553"
"Population","2022","Male","11 years","South Dublin","Number","2382"
"Population","2022","Male","11 years","Sligo","Number","497"
"Population","2022","Male","11 years","Tipperary","Number","1268"
"Population","2022","Male","11 years","Waterford City and County","Number","934"
"Population","2022","Male","11 years","Westmeath","Number","770"
"Population","2022","Male","11 years","Wicklow","Number","1247"
"Population","2022","Male","11 years","Wexford","Number","1220"
"Population","2022","Male","12 years","State","Number","38957"
"Population","2022","Male","12 years","Cork City and Cork County","Number","4428"
"Population","2022","Male","12 years","Clare","Number","984"
"Population","2022","Male","12 years","Cavan","Number","645"
"Population","2022","Male","12 years","Carlow","Number","441"
"Population","2022","Male","12 years","Dublin City","Number","3236"
"Population","2022","Male","12 years","Donegal","Number","1332"
"Population","2022","Male","12 years","Dún Laoghaire-Rathdown","Number","1561"
"Population","2022","Male","12 years","Fingal","Number","3013"
"Population","2022","Male","12 years","Galway City","Number","443"
"Population","2022","Male","12 years","Galway County","Number","1530"
"Population","2022","Male","12 years","Kildare","Number","2057"
"Population","2022","Male","12 years","Kilkenny","Number","825"
"Population","2022","Male","12 years","Kerry","Number","1165"
"Population","2022","Male","12 years","Longford","Number","381"
"Population","2022","Male","12 years","Louth","Number","1098"
"Population","2022","Male","12 years","Limerick City and County","Number","1521"
"Population","2022","Male","12 years","Leitrim","Number","256"
"Population","2022","Male","12 years","Laois","Number","818"
"Population","2022","Male","12 years","Meath","Number","1964"
"Population","2022","Male","12 years","Monaghan","Number","532"
"Population","2022","Male","12 years","Mayo","Number","1000"
"Population","2022","Male","12 years","Offaly","Number","681"
"Population","2022","Male","12 years","Roscommon","Number","508"
"Population","2022","Male","12 years","South Dublin","Number","2459"
"Population","2022","Male","12 years","Sligo","Number","521"
"Population","2022","Male","12 years","Tipperary","Number","1346"
"Population","2022","Male","12 years","Waterford City and County","Number","984"
"Population","2022","Male","12 years","Westmeath","Number","752"
"Population","2022","Male","12 years","Wicklow","Number","1261"
"Population","2022","Male","12 years","Wexford","Number","1215"
"Population","2022","Male","13 years","State","Number","38474"
"Population","2022","Male","13 years","Cork City and Cork County","Number","4228"
"Population","2022","Male","13 years","Clare","Number","960"
"Population","2022","Male","13 years","Cavan","Number","709"
"Population","2022","Male","13 years","Carlow","Number","484"
"Population","2022","Male","13 years","Dublin City","Number","3064"
"Population","2022","Male","13 years","Donegal","Number","1377"
"Population","2022","Male","13 years","Dún Laoghaire-Rathdown","Number","1544"
"Population","2022","Male","13 years","Fingal","Number","2830"
"Population","2022","Male","13 years","Galway City","Number","511"
"Population","2022","Male","13 years","Galway County","Number","1568"
"Population","2022","Male","13 years","Kildare","Number","2058"
"Population","2022","Male","13 years","Kilkenny","Number","843"
"Population","2022","Male","13 years","Kerry","Number","1107"
"Population","2022","Male","13 years","Longford","Number","385"
"Population","2022","Male","13 years","Louth","Number","1190"
"Population","2022","Male","13 years","Limerick City and County","Number","1516"
"Population","2022","Male","13 years","Leitrim","Number","259"
"Population","2022","Male","13 years","Laois","Number","788"
"Population","2022","Male","13 years","Meath","Number","1897"
"Population","2022","Male","13 years","Monaghan","Number","518"
"Population","2022","Male","13 years","Mayo","Number","969"
"Population","2022","Male","13 years","Offaly","Number","694"
"Population","2022","Male","13 years","Roscommon","Number","549"
"Population","2022","Male","13 years","South Dublin","Number","2373"
"Population","2022","Male","13 years","Sligo","Number","480"
"Population","2022","Male","13 years","Tipperary","Number","1256"
"Population","2022","Male","13 years","Waterford City and County","Number","942"
"Population","2022","Male","13 years","Westmeath","Number","743"
"Population","2022","Male","13 years","Wicklow","Number","1294"
"Population","2022","Male","13 years","Wexford","Number","1338"
"Population","2022","Male","14 years","State","Number","37352"
"Population","2022","Male","14 years","Cork City and Cork County","Number","4126"
"Population","2022","Male","14 years","Clare","Number","954"
"Population","2022","Male","14 years","Cavan","Number","641"
"Population","2022","Male","14 years","Carlow","Number","486"
"Population","2022","Male","14 years","Dublin City","Number","2806"
"Population","2022","Male","14 years","Donegal","Number","1329"
"Population","2022","Male","14 years","Dún Laoghaire-Rathdown","Number","1453"
"Population","2022","Male","14 years","Fingal","Number","2714"
"Population","2022","Male","14 years","Galway City","Number","456"
"Population","2022","Male","14 years","Galway County","Number","1538"
"Population","2022","Male","14 years","Kildare","Number","2037"
"Population","2022","Male","14 years","Kilkenny","Number","855"
"Population","2022","Male","14 years","Kerry","Number","1102"
"Population","2022","Male","14 years","Longford","Number","372"
"Population","2022","Male","14 years","Louth","Number","1089"
"Population","2022","Male","14 years","Limerick City and County","Number","1453"
"Population","2022","Male","14 years","Leitrim","Number","265"
"Population","2022","Male","14 years","Laois","Number","790"
"Population","2022","Male","14 years","Meath","Number","1841"
"Population","2022","Male","14 years","Monaghan","Number","562"
"Population","2022","Male","14 years","Mayo","Number","974"
"Population","2022","Male","14 years","Offaly","Number","687"
"Population","2022","Male","14 years","Roscommon","Number","523"
"Population","2022","Male","14 years","South Dublin","Number","2359"
"Population","2022","Male","14 years","Sligo","Number","525"
"Population","2022","Male","14 years","Tipperary","Number","1263"
"Population","2022","Male","14 years","Waterford City and County","Number","960"
"Population","2022","Male","14 years","Westmeath","Number","733"
"Population","2022","Male","14 years","Wicklow","Number","1246"
"Population","2022","Male","14 years","Wexford","Number","1213"
"Population","2022","Male","15 years","State","Number","35948"
"Population","2022","Male","15 years","Cork City and Cork County","Number","4118"
"Population","2022","Male","15 years","Clare","Number","981"
"Population","2022","Male","15 years","Cavan","Number","628"
"Population","2022","Male","15 years","Carlow","Number","432"
"Population","2022","Male","15 years","Dublin City","Number","2713"
"Population","2022","Male","15 years","Donegal","Number","1271"
"Population","2022","Male","15 years","Dún Laoghaire-Rathdown","Number","1392"
"Population","2022","Male","15 years","Fingal","Number","2528"
"Population","2022","Male","15 years","Galway City","Number","444"
"Population","2022","Male","15 years","Galway County","Number","1381"
"Population","2022","Male","15 years","Kildare","Number","1933"
"Population","2022","Male","15 years","Kilkenny","Number","828"
"Population","2022","Male","15 years","Kerry","Number","1092"
"Population","2022","Male","15 years","Longford","Number","384"
"Population","2022","Male","15 years","Louth","Number","1110"
"Population","2022","Male","15 years","Limerick City and County","Number","1409"
"Population","2022","Male","15 years","Leitrim","Number","265"
"Population","2022","Male","15 years","Laois","Number","747"
"Population","2022","Male","15 years","Meath","Number","1771"
"Population","2022","Male","15 years","Monaghan","Number","474"
"Population","2022","Male","15 years","Mayo","Number","929"
"Population","2022","Male","15 years","Offaly","Number","655"
"Population","2022","Male","15 years","Roscommon","Number","511"
"Population","2022","Male","15 years","South Dublin","Number","2147"
"Population","2022","Male","15 years","Sligo","Number","512"
"Population","2022","Male","15 years","Tipperary","Number","1250"
"Population","2022","Male","15 years","Waterford City and County","Number","954"
"Population","2022","Male","15 years","Westmeath","Number","703"
"Population","2022","Male","15 years","Wicklow","Number","1195"
"Population","2022","Male","15 years","Wexford","Number","1191"
"Population","2022","Male","16 years","State","Number","34646"
"Population","2022","Male","16 years","Cork City and Cork County","Number","3828"
"Population","2022","Male","16 years","Clare","Number","903"
"Population","2022","Male","16 years","Cavan","Number","611"
"Population","2022","Male","16 years","Carlow","Number","431"
"Population","2022","Male","16 years","Dublin City","Number","2750"
"Population","2022","Male","16 years","Donegal","Number","1292"
"Population","2022","Male","16 years","Dún Laoghaire-Rathdown","Number","1381"
"Population","2022","Male","16 years","Fingal","Number","2293"
"Population","2022","Male","16 years","Galway City","Number","419"
"Population","2022","Male","16 years","Galway County","Number","1519"
"Population","2022","Male","16 years","Kildare","Number","1803"
"Population","2022","Male","16 years","Kilkenny","Number","783"
"Population","2022","Male","16 years","Kerry","Number","988"
"Population","2022","Male","16 years","Longford","Number","340"
"Population","2022","Male","16 years","Louth","Number","1052"
"Population","2022","Male","16 years","Limerick City and County","Number","1436"
"Population","2022","Male","16 years","Leitrim","Number","265"
"Population","2022","Male","16 years","Laois","Number","680"
"Population","2022","Male","16 years","Meath","Number","1705"
"Population","2022","Male","16 years","Monaghan","Number","462"
"Population","2022","Male","16 years","Mayo","Number","945"
"Population","2022","Male","16 years","Offaly","Number","600"
"Population","2022","Male","16 years","Roscommon","Number","503"
"Population","2022","Male","16 years","South Dublin","Number","2104"
"Population","2022","Male","16 years","Sligo","Number","461"
"Population","2022","Male","16 years","Tipperary","Number","1160"
"Population","2022","Male","16 years","Waterford City and County","Number","945"
"Population","2022","Male","16 years","Westmeath","Number","713"
"Population","2022","Male","16 years","Wicklow","Number","1077"
"Population","2022","Male","16 years","Wexford","Number","1197"
"Population","2022","Male","17 years","State","Number","34981"
"Population","2022","Male","17 years","Cork City and Cork County","Number","3899"
"Population","2022","Male","17 years","Clare","Number","954"
"Population","2022","Male","17 years","Cavan","Number","596"
"Population","2022","Male","17 years","Carlow","Number","463"
"Population","2022","Male","17 years","Dublin City","Number","2906"
"Population","2022","Male","17 years","Donegal","Number","1236"
"Population","2022","Male","17 years","Dún Laoghaire-Rathdown","Number","1374"
"Population","2022","Male","17 years","Fingal","Number","2371"
"Population","2022","Male","17 years","Galway City","Number","438"
"Population","2022","Male","17 years","Galway County","Number","1457"
"Population","2022","Male","17 years","Kildare","Number","1884"
"Population","2022","Male","17 years","Kilkenny","Number","726"
"Population","2022","Male","17 years","Kerry","Number","1057"
"Population","2022","Male","17 years","Longford","Number","331"
"Population","2022","Male","17 years","Louth","Number","1032"
"Population","2022","Male","17 years","Limerick City and County","Number","1391"
"Population","2022","Male","17 years","Leitrim","Number","270"
"Population","2022","Male","17 years","Laois","Number","703"
"Population","2022","Male","17 years","Meath","Number","1613"
"Population","2022","Male","17 years","Monaghan","Number","496"
"Population","2022","Male","17 years","Mayo","Number","946"
"Population","2022","Male","17 years","Offaly","Number","638"
"Population","2022","Male","17 years","Roscommon","Number","481"
"Population","2022","Male","17 years","South Dublin","Number","2078"
"Population","2022","Male","17 years","Sligo","Number","481"
"Population","2022","Male","17 years","Tipperary","Number","1240"
"Population","2022","Male","17 years","Waterford City and County","Number","863"
"Population","2022","Male","17 years","Westmeath","Number","685"
"Population","2022","Male","17 years","Wicklow","Number","1168"
"Population","2022","Male","17 years","Wexford","Number","1204"
"Population","2022","Male","18 years","State","Number","33900"
"Population","2022","Male","18 years","Cork City and Cork County","Number","3803"
"Population","2022","Male","18 years","Clare","Number","860"
"Population","2022","Male","18 years","Cavan","Number","574"
"Population","2022","Male","18 years","Carlow","Number","437"
"Population","2022","Male","18 years","Dublin City","Number","3143"
"Population","2022","Male","18 years","Donegal","Number","1175"
"Population","2022","Male","18 years","Dún Laoghaire-Rathdown","Number","1427"
"Population","2022","Male","18 years","Fingal","Number","2221"
"Population","2022","Male","18 years","Galway City","Number","512"
"Population","2022","Male","18 years","Galway County","Number","1332"
"Population","2022","Male","18 years","Kildare","Number","1888"
"Population","2022","Male","18 years","Kilkenny","Number","715"
"Population","2022","Male","18 years","Kerry","Number","985"
"Population","2022","Male","18 years","Longford","Number","337"
"Population","2022","Male","18 years","Louth","Number","999"
"Population","2022","Male","18 years","Limerick City and County","Number","1396"
"Population","2022","Male","18 years","Leitrim","Number","229"
"Population","2022","Male","18 years","Laois","Number","665"
"Population","2022","Male","18 years","Meath","Number","1593"
"Population","2022","Male","18 years","Monaghan","Number","404"
"Population","2022","Male","18 years","Mayo","Number","873"
"Population","2022","Male","18 years","Offaly","Number","637"
"Population","2022","Male","18 years","Roscommon","Number","487"
"Population","2022","Male","18 years","South Dublin","Number","2022"
"Population","2022","Male","18 years","Sligo","Number","435"
"Population","2022","Male","18 years","Tipperary","Number","1089"
"Population","2022","Male","18 years","Waterford City and County","Number","882"
"Population","2022","Male","18 years","Westmeath","Number","641"
"Population","2022","Male","18 years","Wicklow","Number","997"
"Population","2022","Male","18 years","Wexford","Number","1142"
"Population","2022","Male","19 years","State","Number","32867"
"Population","2022","Male","19 years","Cork City and Cork County","Number","3933"
"Population","2022","Male","19 years","Clare","Number","829"
"Population","2022","Male","19 years","Cavan","Number","479"
"Population","2022","Male","19 years","Carlow","Number","446"
"Population","2022","Male","19 years","Dublin City","Number","3669"
"Population","2022","Male","19 years","Donegal","Number","930"
"Population","2022","Male","19 years","Dún Laoghaire-Rathdown","Number","1577"
"Population","2022","Male","19 years","Fingal","Number","2167"
"Population","2022","Male","19 years","Galway City","Number","758"
"Population","2022","Male","19 years","Galway County","Number","1212"
"Population","2022","Male","19 years","Kildare","Number","1744"
"Population","2022","Male","19 years","Kilkenny","Number","562"
"Population","2022","Male","19 years","Kerry","Number","880"
"Population","2022","Male","19 years","Longford","Number","287"
"Population","2022","Male","19 years","Louth","Number","894"
"Population","2022","Male","19 years","Limerick City and County","Number","1467"
"Population","2022","Male","19 years","Leitrim","Number","162"
"Population","2022","Male","19 years","Laois","Number","593"
"Population","2022","Male","19 years","Meath","Number","1507"
"Population","2022","Male","19 years","Monaghan","Number","412"
"Population","2022","Male","19 years","Mayo","Number","734"
"Population","2022","Male","19 years","Offaly","Number","545"
"Population","2022","Male","19 years","Roscommon","Number","373"
"Population","2022","Male","19 years","South Dublin","Number","2041"
"Population","2022","Male","19 years","Sligo","Number","419"
"Population","2022","Male","19 years","Tipperary","Number","930"
"Population","2022","Male","19 years","Waterford City and County","Number","826"
"Population","2022","Male","19 years","Westmeath","Number","585"
"Population","2022","Male","19 years","Wicklow","Number","965"
"Population","2022","Male","19 years","Wexford","Number","941"
"Population","2022","Male","20 years","State","Number","32120"
"Population","2022","Male","20 years","Cork City and Cork County","Number","3656"
"Population","2022","Male","20 years","Clare","Number","828"
"Population","2022","Male","20 years","Cavan","Number","455"
"Population","2022","Male","20 years","Carlow","Number","444"
"Population","2022","Male","20 years","Dublin City","Number","3777"
"Population","2022","Male","20 years","Donegal","Number","941"
"Population","2022","Male","20 years","Dún Laoghaire-Rathdown","Number","1535"
"Population","2022","Male","20 years","Fingal","Number","2080"
"Population","2022","Male","20 years","Galway City","Number","882"
"Population","2022","Male","20 years","Galway County","Number","1078"
"Population","2022","Male","20 years","Kildare","Number","1744"
"Population","2022","Male","20 years","Kilkenny","Number","560"
"Population","2022","Male","20 years","Kerry","Number","807"
"Population","2022","Male","20 years","Longford","Number","315"
"Population","2022","Male","20 years","Louth","Number","1037"
"Population","2022","Male","20 years","Limerick City and County","Number","1428"
"Population","2022","Male","20 years","Leitrim","Number","185"
"Population","2022","Male","20 years","Laois","Number","537"
"Population","2022","Male","20 years","Meath","Number","1454"
"Population","2022","Male","20 years","Monaghan","Number","349"
"Population","2022","Male","20 years","Mayo","Number","652"
"Population","2022","Male","20 years","Offaly","Number","504"
"Population","2022","Male","20 years","Roscommon","Number","375"
"Population","2022","Male","20 years","South Dublin","Number","1904"
